"YEAR","CASEID","SERIAL","STRATA","PERNUM","LINENO","WT06","AGE","SEX","RACE","AGE_CPS8","BMI","EDUC","OCC2_CPS8","IND2_CPS8","EARNWEEK","ACT_CAREHH","ACT_CARENHH","ACT_EDUC","ACT_FOOD","ACT_GOVSERV","ACT_HHACT","ACT_HHSERV","ACT_PCARE","ACT_PHONE","ACT_PROFSERV","ACT_PURCH","ACT_RELIG","ACT_SOCIAL","ACT_SPORTS","ACT_TRAVEL","ACT_VOL","ACT_WORK"
2022,20220403222008,2660,,1,1,6740540.342668000,85,2,132,85,24.500,11,9999,9999,99999.99,0,0,0,15,0,345,0,450,0,0,0,0,570,0,60,0,0
2022,20220403222012,2661,,1,1,15465474.73178500,33,2,110,33,30.100,21,9999,9999,1080.0,75,0,0,155,0,503,0,532,0,0,0,0,175,0,0,0,0
2022,20220403222014,2662,,1,1,4272651.623947000,80,2,100,80,33.300,21,9999,9999,99999.99,0,0,0,30,0,330,0,665,30,0,0,30,325,0,30,0,0
2022,20220403222016,2663,,1,1,12214491.36307400,24,1,100,24,999.00,16,132,271,99999.99,50,0,0,90,0,210,0,715,0,0,5,0,330,0,40,0,0
2022,20220403222018,2664,,1,1,9861440.137914000,46,1,110,46,999.00,30,125,240,750.0,0,0,0,25,0,50,0,810,0,0,0,0,555,0,0,0,0
2022,20220403222020,2665,,1,1,66860605.17682300,15,1,100,15,16.300,13,160,100,99999.99,0,0,390,110,0,60,0,588,0,0,0,0,175,0,117,0,0
2022,20220403222030,2666,,1,1,5259843.290333000,49,1,131,48,26.500,41,110,220,99999.99,0,0,0,90,0,240,0,630,0,0,0,0,420,0,60,0,0
2022,20220403222031,2667,,1,1,9697999.512010000,61,1,100,61,25.100,43,9999,9999,99999.99,0,0,0,70,0,110,0,410,0,60,60,0,635,40,55,0,0
2022,20220403222032,2668,,1,1,12495022.22387800,59,2,100,59,32.400,32,140,132,865.38,0,0,0,15,0,0,0,450,0,0,0,0,141,0,83,0,751
2022,20220403222033,2669,,1,1,14099732.07271500,59,1,100,58,24.400,21,200,150,220.0,0,0,0,94,0,80,0,630,0,0,0,0,202,0,20,0,414
2022,20220403222035,2670,,1,1,12586594.40844600,44,2,110,44,24.000,41,127,252,1346.15,0,0,0,50,0,120,0,480,0,0,45,0,345,15,160,180,45
2022,20220403222036,2671,,1,1,9472383.701093000,47,1,100,47,28.300,14,180,231,1875.0,0,0,0,30,0,240,0,564,60,0,90,0,70,90,296,0,0
2022,20220403222041,2672,,1,1,5698589.487231000,71,1,100,71,22.500,30,9999,9999,99999.99,0,0,0,90,0,570,0,540,0,0,0,0,240,0,0,0,0
2022,20220403222043,2673,,1,1,10395846.06594400,75,1,131,75,23.300,42,9999,9999,99999.99,0,0,0,45,0,55,0,495,55,0,85,30,535,30,50,0,0
2022,20220403222044,2674,,1,1,4658790.430673000,71,1,100,71,25.100,31,9999,9999,99999.99,0,0,0,60,0,460,0,560,0,0,0,60,300,0,0,0,0
2022,20220403222047,2675,,1,1,9204208.124079000,51,2,100,51,27.500,16,9999,9999,99999.99,0,0,0,0,0,0,0,16,0,0,0,0,1424,0,0,0,0
2022,20220403222049,2676,,1,1,16024227.34141100,28,1,200,28,25.100,41,110,240,769.23,0,0,0,75,0,0,0,530,0,0,0,0,180,75,50,0,530
2022,20220403222055,2677,,1,1,2577071.955436000,38,2,100,38,32.700,21,150,201,600.0,121,0,0,60,0,190,0,747,0,0,150,0,150,0,22,0,0
2022,20220403222056,2678,,1,1,14672815.64956500,32,2,100,32,27.400,40,140,210,600.0,140,0,0,60,0,20,0,635,0,0,0,0,0,30,90,0,465
2022,20220403222058,2679,,1,1,4092573.821808000,68,1,100,68,38.900,40,9999,9999,99999.99,324,0,0,60,0,143,0,390,0,0,10,0,378,0,135,0,0
2022,20220403222062,2680,,1,1,97201002.89376700,16,1,100,16,23.100,15,9999,9999,99999.99,0,0,0,40,0,0,0,690,0,0,0,0,710,0,0,0,0
2022,20220403222068,2681,,1,1,4049093.758191000,78,2,100,78,32.900,21,9999,9999,99999.99,0,0,0,90,0,165,0,645,0,0,0,75,93,0,24,330,0
2022,20220403222069,2682,,1,1,15558028.90866400,68,1,100,68,27.300,21,9999,9999,99999.99,0,0,0,75,0,65,0,565,0,0,0,0,650,55,30,0,0
2022,20220403222070,2683,,1,1,12560968.57909200,80,2,100,80,30.900,21,9999,9999,99999.99,0,0,0,40,0,185,0,430,45,0,0,0,740,0,0,0,0
2022,20220403222080,2684,,1,1,4832922.053041000,80,1,100,80,26.600,13,9999,9999,99999.99,0,0,0,135,0,0,0,540,0,0,10,0,690,0,65,0,0
2022,20220403222092,2685,,1,1,10577844.38028000,85,2,100,85,29.100,30,9999,9999,99999.99,0,0,0,64,0,65,0,645,0,0,0,0,666,0,0,0,0
2022,20220403222096,2686,,1,1,12025637.05604500,28,2,202,28,26.000,30,132,271,900.0,0,2,0,15,0,30,0,513,0,0,0,0,233,45,54,0,548
2022,20220403222101,2687,,1,1,25106826.27619500,55,1,100,55,38.700,20,180,290,660.0,0,0,0,60,0,60,0,620,0,0,0,0,125,0,55,0,520
2022,20220403222106,2688,,1,1,10403001.07446900,28,1,100,28,27.900,40,111,200,692.3,0,0,0,30,0,60,0,600,0,0,0,0,750,0,0,0,0
2022,20220403222107,2689,,1,1,6087480.518188000,47,1,100,47,999.00,40,110,200,2884.61,80,0,0,30,0,90,0,505,0,0,5,0,80,0,20,0,630
2022,20220403222109,2690,,1,1,14635330.90307400,60,2,100,60,24.200,21,132,240,99999.99,0,15,0,35,0,135,0,580,0,60,0,0,525,0,90,0,0
2022,20220403222110,2691,,1,1,7916359.897492000,34,2,100,34,22.300,40,140,160,99999.99,262,0,0,90,0,195,0,590,0,0,12,0,151,60,80,0,0
2022,20220403222111,2692,,1,1,40708004.75940200,34,2,100,34,999.00,13,9999,9999,99999.99,293,0,0,40,0,330,0,517,0,0,20,70,40,0,130,0,0
2022,20220403222112,2693,,1,1,14473230.96042600,69,1,100,69,25.100,30,9999,9999,99999.99,0,0,0,120,0,60,0,530,0,0,90,0,540,60,40,0,0
2022,20220403222113,2694,,1,1,3843746.075794000,60,2,110,60,44.400,16,190,140,538.0,0,0,0,45,0,15,0,569,0,0,0,30,751,0,30,0,0
2022,20220403222114,2695,,1,1,11486667.39046200,69,2,100,69,998.00,21,130,251,99999.99,0,0,0,120,0,75,0,615,0,0,0,45,335,120,130,0,0
2022,20220403222118,2696,,1,1,4228392.934331000,47,1,110,47,29.800,41,9999,9999,99999.99,0,0,0,30,0,50,0,560,0,0,0,108,518,0,54,0,120
2022,20220403222123,2697,,1,1,10694753.32461900,27,2,100,27,33.300,41,127,240,865.38,0,0,0,90,0,0,0,600,0,0,0,0,420,270,60,0,0
2022,20220403222132,2698,,1,1,7079120.302120000,66,1,100,66,28.700,40,9999,9999,99999.99,0,0,0,120,0,405,0,630,0,0,0,0,285,0,0,0,0
2022,20220403222134,2699,,1,1,21824370.83023100,53,2,100,52,998.00,21,150,220,2884.61,0,0,0,45,0,120,0,540,0,0,10,0,140,0,30,0,555
2022,20220403222135,2700,,1,1,10856704.84701100,58,2,100,58,31.400,40,200,240,1920.0,0,0,0,130,0,0,0,610,0,0,0,0,125,0,120,0,455
2022,20220403222137,2701,,1,1,2839899.682449000,61,2,100,61,20.500,40,127,220,2173.07,0,0,0,15,0,182,0,575,0,0,0,0,328,100,240,0,0
2022,20220403222138,2702,,1,1,5298002.953343000,41,2,100,41,25.700,40,125,240,225.0,0,0,0,180,0,300,0,550,0,0,0,0,150,60,20,0,0
2022,20220403222147,2703,,1,1,4102806.862816000,77,1,100,77,25.100,41,9999,9999,99999.99,0,0,0,60,0,660,0,600,90,0,0,0,0,0,0,0,0
2022,20220403222152,2704,,1,1,17380569.66717200,63,1,110,63,24.300,21,9999,9999,99999.99,0,0,0,50,0,20,0,1220,0,0,0,0,150,0,0,0,0
2022,20220403222155,2705,,1,1,13923701.15136500,66,1,100,66,26.500,30,9999,9999,99999.99,0,0,0,75,0,330,0,675,0,30,135,0,120,0,75,0,0
2022,20220403222164,2706,,1,1,7413137.357924000,28,2,100,28,25.700,40,127,250,1144.0,0,0,0,45,0,121,0,525,0,0,12,0,315,0,57,0,365
2022,20220403222167,2707,,1,1,7506607.843216000,38,2,100,38,26.600,40,125,240,1477.27,0,0,0,120,0,510,0,480,0,80,80,0,140,0,30,0,0
2022,20220403222168,2708,,1,1,7503874.446023000,24,2,100,24,20.200,21,9999,9999,99999.99,160,0,0,100,0,264,0,695,0,0,40,0,30,0,41,0,0
2022,20220403222169,2709,,1,1,12206487.27590800,31,1,131,31,22.800,30,132,271,800.0,1,0,0,90,0,0,0,630,0,0,0,0,0,0,65,0,654
2022,20220403222171,2710,,1,1,5889887.237767000,49,2,110,49,40.300,40,150,250,680.0,0,0,0,62,0,0,0,861,0,0,0,0,30,0,17,0,465
2022,20220403222172,2711,,1,1,5981387.963812000,66,1,100,66,31.200,40,140,192,51.0,0,0,0,30,0,105,150,470,0,0,0,0,15,450,220,0,0
